Code,Year,Access to electricity (% of population)
AFG,2000,1.61359E+15
AFG,2001,4.07457E+15
AFG,2002,9.40916E+15
AFG,2003,1.47385E+16
AFG,2004,2.0065E+15
AFG,2005,2.53909E+16
AFG,2006,3.07187E+16
AFG,2007,3.6051E+15
AFG,2008,4.24E+16
AFG,2009,4.67401E+15
AFG,2010,4.27E+15
AFG,2011,4.3222E+15
AFG,2012,6.91E+14
AFG,2013,6.82906E+14
AFG,2014,895
AFG,2015,715
AFG,2016,9.77E+15
AFG,2017,9.77E+15
AFG,2018,9.66161E+15
AFG,2019,9.77E+15
AFG,2020,9.77E+15
ALB,1990,100
ALB,1991,100
ALB,1992,100
ALB,1993,100
ALB,1994,100
ALB,1995,100
ALB,1996,100
ALB,1997,100
ALB,1998,100
ALB,1999,100
ALB,2000,100
ALB,2001,100
ALB,2002,100
ALB,2003,100
ALB,2004,100
ALB,2005,100
ALB,2006,100
ALB,2007,100
ALB,2008,100
ALB,2009,100
ALB,2010,100
ALB,2011,100
ALB,2012,9.99E+14
ALB,2013,100
ALB,2014,9.995E+15
ALB,2015,9.998E+14
ALB,2016,9.989E+15
ALB,2017,9.989E+15
ALB,2018,100
ALB,2019,100
ALB,2020,100
DZA,2000,9.89731E+15
DZA,2001,9.89669E+15
DZA,2002,9.89531E+15
DZA,2003,9.8934E+15
DZA,2004,9.89121E+15
DZA,2005,9.88896E+15
DZA,2006,9.8869E+15
DZA,2007,9.88529E+15
DZA,2008,9.93E+15
DZA,2009,9.88452E+15
DZA,2010,9.88589E+15
DZA,2011,9.8888E+15
DZA,2012,9.87647E+15
DZA,2013,9.90022E+15
DZA,2014,9.9087E+14
DZA,2015,9.91867E+15
DZA,2016,9.93503E+15
DZA,2017,9.96355E+15
DZA,2018,9.96978E+15
DZA,2019,995
DZA,2020,9.98041E+15
AND,1990,100
AND,1991,100
AND,1992,100
AND,1993,100
AND,1994,100
AND,1995,100
AND,1996,100
AND,1997,100
AND,1998,100
AND,1999,100
AND,2000,100
AND,2001,100
AND,2002,100
AND,2003,100
AND,2004,100
AND,2005,100
AND,2006,100
AND,2007,100
AND,2008,100
AND,2009,100
AND,2010,100
AND,2011,100
AND,2012,100
AND,2013,100
AND,2014,100
AND,2015,100
AND,2016,100
AND,2017,100
AND,2018,100
AND,2019,100
AND,2020,100
AGO,2000,2.42127E+16
AGO,2001,20
AGO,2002,2.63521E+15
AGO,2003,2.74128E+16
AGO,2004,2.84706E+16
AGO,2005,2.95278E+16
AGO,2006,3.05869E+16
AGO,2007,375
AGO,2008,3.849E+14
AGO,2009,3.38022E+16
AGO,2010,3.48956E+15
AGO,2011,3.46E+16
AGO,2012,3.71313E+15
AGO,2013,3.8278E+15
AGO,2014,32
AGO,2015,42
AGO,2016,4.18131E+15
AGO,2017,4.30133E+15
AGO,2018,4.529E+16
AGO,2019,4.56428E+16
AGO,2020,4.68906E+15
ATG,1990,9.5763E+15
ATG,1991,9.59407E+14
ATG,1992,9.61181E+15
ATG,1993,9.62949E+14
ATG,1994,9.64704E+15
ATG,1995,9.66438E+13
ATG,1996,9.68145E+15
ATG,1997,9.69818E+15
ATG,1998,9.7145E+15
ATG,1999,9.73034E+15
